id,Beer_Name,Brew_Factory_Name,Style,ABV
1501,BullDog American Bully Amber,BullDog Brewery,Amber Ale,5
1502,38 State ColorAmber Amber Ale,38 State Brewing Company,Amber Ale,4.30
1503,Barrier Craven Belgian Red,Barrier Brewing Company,Belgian Ale,
1504,Brass Castle The Maltings 8 Hundred,Brass Castle,Imperial Stout,8
1505,Big Horse Little Red Rooster,Big Horse Brewing,Amber Ale,
1506,Rusty Scupper Amber Ale,Miller Brewing Company &#40; MillerCoors &#41;,Amber Ale,
1507,TRVE Crown of Eyes,TRVE Brewing,Amber Ale,5
1508,Iron Fist Blame Canada &#033;,Iron Fist Brewing Company,Imperial Stout,9
1509,Great Lakes Independence Ale,Great Lakes Brewing &#40; Ohio &#41;,Amber Ale,6
1510,Redemption Keen Massey Ale,Redemption,Mild Ale,3.60
1511,BullDog Rotty_s Red Ale,BullDog Brewery,Amber Ale,5.50
1512,Broken Tooth Anchorage Amber Ale,Broken Tooth Brewing Company,Amber Ale,5.90
1513,BrÃ ¸ ckhouse Amber,BrÃ ¸ ckhouse &#40; Premium Beer &#41;,Amber Ale,5.40
1514,Abrahalls Thundering Molly,Celtic Marches Cider,Cider,5.20
1515,Baladin Birra Lurisia Speciale,Le Baladin,Amber Ale,6.30
1516,Black Sky Kelvin & Hops Copper Ale,Black Sky Brewery,Amber Ale,5.20
1517,Piney River Masked Bandit IPA,Piney River Brewing Company,Black IPA,7
1518,Willimantic Mt. Rainier Red,Willimantic Brewing Company,Irish Ale,5.50
1519,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20
1520,Right Brain Fenton Fire Hall Ale,Right Brain Brewery,Amber Ale,4.80
1521,Fire Station 5 Brush Fire Summer Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Golden Ale/Blond Ale,
1522,Two Metre Tall Forester Bitter Amber Ale,Two Metre Tall Brewing Company,Amber Ale,5.30
1523,Calanda PanachÃ ©,Heineken Switzerland,Radler/Shandy,2.40
1524,Crooked Fence Exiled Series 3 of 6 : Hunters Imperial Red,Crooked Fence Brewing Company,American Strong Ale,8
1525,7 Fjell Kjuagutt Amber Ale,7 Fjell Bryggeri,Amber Ale,4.70
1526,Bent Paddle / Fitger_s Barrel Aged Red Smoke Rye Ale,Bent Paddle Brewing Co. .,Smoked,
1527,Big Wood Lil _ Red Riding Wood,Big Wood Brewery,Amber Ale,5
1528,Ellicottville E_vil Hoppy Winter Ale,Ellicottville Brewing,American Pale Ale,5.50
1529,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90
1530,La Boite _ Malt Gros Ours,Microbrasserie La Boite _ Malt,Amber Ale,5
1531,Chunky_s Red Carpet Ale,Woodstock Inn Brewery,Amber Ale,5.50
1532,Flying Monkey Amber Ale,Weston Brewing Company,Amber Ale,4
1533,23rd Street California Common,23rd Street Brewery,California Common,5.40
1534,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50
1535,Breckenridge Mountain Series : Hoppy Amber Ale,Breckenridge Brewery,Amber Ale,6.10
1536,AleSmith Speedway Stout - Red Velvet,AleSmith Brewing Company,Imperial Stout,12
1537,Battlefield Iwo Jima Red Ale,Battlefield Brewery,Irish Ale,6.40
1538,Elysian Breadwinner,Elysian Brewing &#40; AB-InBev &#41;,Amber Ale,5.40
1539,Rock Bottom Orland Park Kiss Me Im Irish Dry Stout,Rock Bottom Orland Park,Dry Stout,4.20
1540,O_Fallon O_Bar Amber Ale,O_Fallon Brewery,Amber Ale,5.50
1541,Iechyd Da Brass Band Golden Ale,Iechyd Da Brewing Company,Golden Ale/Blond Ale,5.70
1542,Beer Works Boston Red Ale,Beer Works,Amber Ale,5
1543,Fallbrook Secret Lake Amber Ale,Fallbrook Brewing Company,Amber Ale,5.60
1544,Brady_s Calibration Ale,Brady_s Brewhouse,Amber Ale,
1545,Galactic Coast Goblin Hunter,Galactic Coast Brewing Company,Oktoberfest/M Ã $ rzen,6.60
1546,75th Street Happy Ending Strong Ale,75th Street Brewery,English Strong Ale,6.20
1547,Breakside Just The Tip Spruced Wheat,Breakside Brewery,Spice/Herb/Vegetable,
1548,Bitter Creek Red Desert Ale,Bitter Creek Brewing Company,Amber Ale,
1549,Four Peaks McCarthys Red,Four Peaks Brewing Company,American Pale Ale,5
1550,Marshall Revival Red Ale,Marshall Brewing Company,Amber Ale,6.50
1551,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,9.50
1552,1516 Opal Pils,1516 Brewing Company,Pilsener,
1553,Fountain City Prairie Moon Red,Grays Brewing Company,Amber Ale,
1554,Freedom_s Edge Magnitude Imperial Red,Freedom_s Edge Brewing,American Strong Ale,7.50
1555,Alley Kat Pumpkin Pie Spiced Ale,Alley Kat Brewing Company,Spice/Herb/Vegetable,5.40
1556,Brewer_s Alley Two Loves Chocolate Ale,Brewer_s Alley Restaurant & Brewery,Brown Ale,5.70
1557,Caledonian Drop Kick,Caledonian &#40; Heineken UK &#41;,English Pale Ale,4
1558,The Unknown Open Road Hop Red,The Unknown Brewing Company,Amber Ale,6.50
1559,Black Dog Bone Crusher Barley Wine,Black Dog Brewery,Barley Wine,12
1560,Old Bakery The Observer,Old Bakery Beer Company,Amber Ale,5.30
1561,Gardians Grain rouge,BiÃ ¨ re des Gardians,Amber Ale,4.70
1562,Le Malbord La Rousse du Malbord,Le Malbord,Amber Ale,5
1563,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50
1564,McMenamins Workingmans Red,McMenamins Pubs and Breweries,Amber Ale,6
1565,Ship in a Bottle Mersey Ale,Liverpool Organic,Amber Ale,5.30
1566,Oakshire Amber,Oakshire Brewing,Amber Ale,5.40
1567,All Saints Crimson Halo,All Saints Brewing Company,Amber Ale,5.30
1568,Redfish Wildfire Smoked Porter,Redfish New Orleans Brewhouse,Smoked,5.60
1569,Cheaha Xena Winter Ale,Cheaha Brewing Company,Spice/Herb/Vegetable,8.60
1570,Mia and Pias Rods Rodeo Red,Mia and Pias Pizzeria and Brewhouse,Amber Ale,4.70
1571,Awesome Red : Red House IRA,Seven Brides Brewing Company,India Pale Ale &#40; IPA &#41;,6.50
1572,Stone Levitation Ale,Stone Brewing Company,Amber Ale,4.40
1573,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,Amber Ale,6
1574,A. Le Coq Special Red,A. Le Coq &#40; Olvi &#41;,Amber Lager/Vienna,5.20
1575,Barnstormers Red Baron Ale,Custom Brewcrafters,Amber Ale,
1576,Blacksmith Montana Amber Ale,Blacksmith Brewing Company,Amber Ale,5.40
1577,Hellbender Red Line Ale &#40; Rum Barrel &#41;,Hellbender Brewing Company,Amber Ale,6
1578,Hoppers Tampa Red,Hoppers Grille & Brewery,Irish Ale,4.80
1579,Royal Gorge Skyline Rye,Royal Gorge Brewing Company,Specialty Grain,6.50
1580,Camino del Sol Cerveza Artesanal Red Llama Ale,Camino del Sol Cerveza Artesanal,Amber Ale,5.30
1581,3 Guys & A Beer_d 2 Bit IPA,3 Guys & A Beer_d Brewing Company,India Pale Ale &#40; IPA &#41;,
1582,D_s Aggie Amber Ale,De La Vega_s Pecan Grill and Brewery,Amber Ale,
1583,Archers Robin Red Breast,Archers &#40; Evan Evans &#41;,Bitter,4
1584,Beerbliotek Mankerbeer Red Ale,Beerbliotek,Amber Ale,6
1585,AdstraGold Red Summer Wheat,AdstraGold Microbrewery & Bistro Bar,Wheat Ale,4
1586,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,Amber Ale,6
1587,Garage &#40; CA &#41; Ragtop Red,Garage Brewing Company and Pizzeria,Amber Ale,5.40
1588,Bad Tattoo No Walls Berliner Weisse,Bad Tattoo Brewing,Berliner Weisse,3.30
1589,Sprague Farm French and Indian Corn Ale,Sprague Farm & Brew Works,Specialty Grain,
1590,Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,
1591,Philipsburg NewlyRed Double Red,Philipsburg Brewing Company,American Strong Ale,6.90
1592,Bricktowne Table Rock Red Ale,Bricktowne Brewing Company,Amber Ale,5.60
1593,Flossmoor Station Rot Geist American Red Wheat,Flossmoor Station Restaurant & Brewery,Wheat Ale,6
1594,Charleville Tornado Alley Amber Ale,Charleville Vineyard & Microbrewery,Amber Ale,
1595,14th Star Maple Breakfast Stout,14th Star Brewing Company,Stout,5.50
1596,Thirsty Monk Robustus Rubeus Imperial Red,Thirsty Monk Pub and Brewery,Imperial IPA,8.30
1597,Sunriver Chalk Rock Amber,Sunriver Brewing Company,Amber Ale,5
1598,Roosters Brewing Rude Ram Red,Roosters Brewing Co. &#40; US &#41;,Amber Ale,4
1599,la Loire 109,Brasserie de la Loire,Amber Ale,6
1600,Cervecera del Centro Ambar,Cervecera del Centro,Oktoberfest/M Ã $ rzen,5.50
1601,JT Schmids Emils Amber Ale,JT Schmids Brewhouse & Eatery,Amber Ale,5.20
1602,Amherst Minuteman Red,Amherst Brewing Company,Amber Ale,4.80
1603,Lazy Hiker Inaugural Amber,Lazy Hiker Brewing Company,Amber Ale,5.25
1604,Stadin American Red Ale,Stadin Panimo,Amber Ale,4.50
1605,Cumberland Slewfoot,Cumberland Brews &#40; US &#41;,Amber Ale,4.20
1606,Anacortes Creamsicle Ale,Rockfish Grill & Anacortes Brewery,Spice/Herb/Vegetable,
1607,Swamp Cabbage Merry Cinnamas,Swamp Cabbage Brewing Company,Amber Ale,5
1608,192 Amber Rye,192 Brewing Company,Specialty Grain,6
1609,Siren Red Rind IPA,Siren,India Pale Ale &#40; IPA &#41;,5.80
1610,Creature Comforts Borboya Reclaimed Rye,Creature Comforts Brewing Company,Amber Ale,5.50
1611,Aftershock Misty Mountain Hop White IPA,Aftershock Brewing Company,India Pale Ale &#40; IPA &#41;,7
1612,Base Camp New Wave Amber,Base Camp Brewing Company,Amber Lager/Vienna,5.60
1613,Blind Pig Hopped-up Red,Blind Pig Brewery,Amber Ale,5.80
1614,Copper Kettle Belgian Tart Wit,Copper Kettle Brewing &#40; CO &#41;,Witbier,
1615,Cannonball Creek Lil _ Vic,Cannonball Creek Brewing Company,Session IPA,4.70
1616,PÃµhjala / Norway Brewing Co. . Batch Zero,PÃµhjala,Amber Ale,8.70
1617,De Molen Bed & Breakfast,Brouwerij de Molen,Spice/Herb/Vegetable,4.40
1618,Le Magnifiche Elbana,La Petrognola / Rio Maggio,Amber Ale,8
1619,Odell Fir Na Tine,Odell Brewing Company,Amber Ale,5.30
1620,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70
1621,Obed and Isaac_s Obed_s Pride Amber Ale,Obed and Isaac_s Microbrewery and Eatery,Amber Ale,5.40
1622,3 Freaks Lucky Clover Red Ale,3 Freaks Brewery,Irish Ale,4.50
1623,Crazy Mountain Loco Rio,Crazy Mountain Brewing Company,Amber Lager/Vienna,5.50
1624,Moncada Notting Hill Red,Moncada,Amber Ale,6
1625,BÃ © ily_s Foxtail Red,BÃ © ily_s Brewing Co. .,Amber Ale,5.50
1626,RJ King Wingwalker Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Oktoberfest/M Ã $ rzen,4.50
1627,Bewdley Tornado,Bewdley,Bitter,4.10
1628,Snake River Fireweed IRA,Snake River Brewing Co. .,Amber Ale,6.50
1629,Brewerkz Mad Bee Honey Ale,Brewerkz,Golden Ale/Blond Ale,6
1630,Kirin Fuyu Nodogoshi Hanayagu Koku,Kirin Brewery Company,Amber Lager/Vienna,6
1631,Abbeydale Serenity,Abbeydale,Golden Ale/Blond Ale,3.60
1632,Big Bear Lake Sage Hopinion IPA,Big Bear Lake Brewing Company,Session IPA,4.30
1633,Cellar Rats Rat Tail Ale,Cellar Rats Brewery &#40; DebonnÃ © Vineyards &#41;,American Pale Ale,6
1634,Everards Stateside Rye,Everards,Specialty Grain,4.50
1635,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10
1636,La Rouget de Lisle PrintaniÃ ¨ re,La Rouget de Lisle,Premium Lager,6.40
1637,Pyynikin Papabeers Ruby Jazz Ale Special Edition,Pyynikin KÃ $ sityÃ ¶ lÃ $ ispanimo,Amber Ale,5.30
1638,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10
1639,Adkin Alfred_s Elswith Ale,Adkin,Bitter,4
1640,7venth Sun / Red Light Red Light Let_s Go Halvsies,7venth Sun Brewery,Berliner Weisse,4
1641,The Livery Harbor Shores Amber,The Livery,Amber Ale,4.75
1642,16 Mile Soulful Ginger,16 Mile Brewing Company,Spice/Herb/Vegetable,
1643,12 Degree Crimson Fog,12 Degree Brewing,Abt/Quadrupel,9
1644,Vadia Loira Export,Essencia D_Alma Lda - Vadia Cervejas,Pilsener,5.10
1645,8 Wired Tall Poppy India Red Ale,Renaissance Brewing,Amber Ale,7
1646,Red Arrow Midnite Umber Ale,Red Arrow Brewing,Amber Ale,5.10
1647,Bull City Movamber Moustache Ale,Bull City Burger and Brewery,Amber Ale,
1648,Covered Bridge Moustache SMaSH,Covered Bridge Brewing Company,American Pale Ale,5
1649,TitanbrÃ $ u Rossa,TitanbrÃ $ u - Birrificio Artigianale Sammarinese,Amber Ale,7.50
1650,Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60
1651,Twisted Pine American Amber Ale,Twisted Pine Brewing,Amber Ale,5.50
1652,3 Rivers Manchester IPA,3 Rivers,Bitter,4.20
1653,On Rotation Saved By The Belma,On Rotation,Amber Ale,5
1654,Ambar Pale Ale 1900,La Zaragozana,English Pale Ale,4.80
1655,LTD I Dream of Amber,LTD Brewing Company,Amber Ale,5.50
1656,Findlay Sweet Amber Ale,Findlay Brewing Company,Amber Ale,5.50
1657,Clocktower Fenian Red,Clocktower Brewpub,Irish Ale,
1658,10 Barrel Big Daddy Fresh,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.10
1659,BarNone Red Eye IPA,BarNone Brewing,India Pale Ale &#40; IPA &#41;,
1660,Highlands Hollow 3 Speed,Highlands Hollow,Amber Ale,6.30
1661,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company,American Strong Ale,8.50
1662,BJ_s Barrel Aged Jeremiah Red,BJ_s Restaurant & Brewhouse,American Strong Ale,7.30
1663,Marthas Will_s Fault Wicked Good Beah,Marthas Exchange Restaurant and Brewing,Premium Bitter/ESB,5.30
1664,Snake River Danimal_s Farmhouse Saison,Snake River Brewing Co. .,Saison,7
1665,Brewbakers Red Hawk Ale,Brewbakers Brewing Company,Amber Ale,
1666,ManRock Fear The Reaper Amber,ManRock Brewing Company,Amber Ale,6.10
1667,Bulldog Roby Red Ale,Bulldog Brewing Company,Amber Ale,
1668,Asheville United Pale Ale,Asheville Brewing Company,American Pale Ale,5.60
1669,Brewster_s Red Hop Lover,Brewster_s &#40; UK &#41;,Bitter,4.20
1670,Angel City Belligerent Bloke &#40; 4.5 &#41;,Angel City Brewing Company,Amber Ale,4.50
1671,Beer & Burger No. 2 India Pale Ale,Old Town Brewery &#40; formerly Motala Brygghus &#41;,India Pale Ale &#40; IPA &#41;,6.30
1672,St. George Fishbones Amber Ale,St. George Brewing Company,Amber Ale,5.20
1673,Tempest A Face With No Name,Tempest Brew Co,Amber Ale,6
1674,Le Saint Graal Flashwood,Le Saint Graal,Amber Ale,5.50
1675,Crux Experimental Off Leash,Crux Fermentation Project,Session IPA,4.50
1676,Brains Open Casket,Brains,Bitter,4.50
1677,Birdsview Amber Lushus,Birdsview Brewing Company,Amber Ale,7.30
1678,Mammoth / June Lake Swordfight IRA,Mammoth Brewing Company,India Pale Ale &#40; IPA &#41;,6
1679,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79
1680,Caldera No Grain No Pain,Caldera Brewing Company,Amber Ale,5.40
1681,Fat Bottom Ruby Red American Ale,Fat Bottom Brewery,Amber Ale,4.60
1682,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60
1683,Whetstone Station Waimea Wonders,Whetstone Station,Amber Ale,5.40
1684,Knucklehead Ehret_s Amber Ale,Knucklehead Craft Brewing,Amber Ale,5.90
1685,Liquid Riot Jewel Box Bronze,Liquid Riot Bottling Company,Amber Ale,6
1686,Olivers Shot Down in Flames,Oliver Breweries,English Strong Ale,8
1687,Lighthouse Race Rocks Ale,Lighthouse Brewing &#40; Canada &#41;,Amber Ale,5.20
1688,Amber_s Honey Brown,Alley Kat Brewing Company,Amber Lager/Vienna,5
1689,508 Brollaboration Series # 2 - Hamber,508 Gastrobrewery,Amber Ale,6.20
1690,Draught House Nut Bush Ale,Draught House Pub & Brewery,Amber Ale,
1691,Katabatic Anabatic Amber,Katabatic Brewing Company,Amber Ale,6
1692,Pismo Roadster Red Ale,Pismo Brewing Company,Amber Ale,5.70
1693,Brutal Brewing Texas State Of Mind Austin Amber,Spendrups Bryggeri,Amber Ale,5
1694,Buffalo Tap Room Amber Ale,Custom Brewcrafters,Amber Ale,5.20
1695,Bindlestick Monkey Wagon Amber Ale,Bindlestick Brewing Company,Amber Ale,5.30
1696,Glastonbury Lady of the Lake,Glastonbury,Bitter,4.20
1697,Carbondale Beer Works Bonedog Amber,Carbondale Beer Works,Amber Ale,5.50
1698,Swamp Head Sciaenhops Imperial Red Ale,Swamp Head Brewery,American Strong Ale,8.30
1699,Blue Heron Walking Red,Blue Heron Brewpub,American Strong Ale,9.25
1700,Nurse Vetusta,Cerveza Mica de la Sierra,Amber Ale,5.30
1701,Dungeness Agnew Amber,Dungeness Brewing Company,Amber Ale,
1702,Lakefront Fixed Gear,Lakefront Brewery,Amber Ale,6.50
1703,Freetail Belgian Freetail Ale,Freetail Brewing Co. .,Belgian Ale,
1704,Edge Amber The Enabler,Edge Brewing Company,Amber Ale,6
1705,Buonconvento Ambrio,Birrificio Angel,Abbey Dubbel,7.20
1706,Barley Mow The Fez Amber,Barley Mow Brewing Company,Amber Ale,4.50
1707,360Â ° Pacific Red # 45,360Â ° Brewing,Amber Ale,4.50
1708,Fixture Fox River Red Ale,Fixture Brewing Company,Amber Ale,5.90
1709,Lumberjack Railhead Red Ale,Lumberjack Brewing Company,Amber Ale,5.80
1710,Waen Hanging Rock,Waen,Amber Ale,5.60
1711,Lucky Labrador Rose City Red Ale,Lucky Labrador Brewing Company,Amber Ale,4.90
1712,Thirsty Monk Electrum Autumn Ale,Thirsty Monk Pub and Brewery,Amber Ale,5.50
1713,3 Sheeps Baaad Boy Black Wheat,3 Sheeps Brewing Company,Dunkelweizen,5.50
1714,Flying Fish Pescade Rojo Grande,Flying Fish Brewing Company,American Strong Ale,9
1715,Allendale End 67 Ruby Tuesday,Allendale,Bitter,4.50
1716,Rock Creek Red Ale,Chesapeake Bay Brewing &#40; formerly Rock Creek &#41;,American Pale Ale,
1717,Ballast Point Victory at Sea - Rum Raisin and Cinnamon,Ballast Point Brewing Company,Imperial Porter,10
1718,Angelic Arch Amber,Angelic Brewing Company,Premium Bitter/ESB,
1719,8 Wired Chardonnay Barrel Aged Saeson,Renaissance Brewing,Saison,7
1720,Great Lakes x Amsterdam x Bar Hop Misdemeanor,Great Lakes Brewing &#40; Ontario &#41;,Session IPA,4
1721,3 Freaks Freaks Amber,3 Freaks Brewery,Amber Ale,7.80
1722,Feral Nan_s Driving,Feral Brewing Co. .,Amber Ale,3.20
1723,Son Pampa,Ca l_Arenys - Cervezas Guineu,Brown Ale,5
1724,Glentworth Spellbound,Glentworth,Golden Ale/Blond Ale,4
1725,Brewsters School_s Out PB&J Brownie,Brewsters Brewing Co. - Alberta,Spice/Herb/Vegetable,
1726,Dodgeton Creek Red_s Dirty Lil _ Ale,Dodgeton Creek Brewing Company,Amber Ale,6.50
1727,George Killian_s Irish Red,Coors Brewing Company &#40; MillerCoors &#41;,Amber Lager/Vienna,4.90
1728,North Sound Here_s Your Damn Amber,North Sound Brewing Company,Amber Ale,5.60
1729,Badger Export Ale,Badger &#40; Hall & Woodhouse &#41;,Premium Bitter/ESB,4.80
1730,Angry Chair Red Ale - Rose Hips and Juniper Berries,Angry Chair Brewing,Amber Ale,5.80
1731,Belly Love Bunk Off &#033;,Belly Love Brewing Company,Amber Ale,5.10
1732,GoatHouse Dirty Redhead,GoatHouse Brewing,Smoked,7.50
1733,AB BiÃ ¨ re La Margoulette de NoÃ `` l,AB BiÃ ¨ re,Belgian Strong Ale,8
1734,Muddy York Unearthed Amber Ale,Muddy York Brewing Co,Amber Ale,5.20
1735,Cricket Hill Fall Festivus,Cricket Hill Brewing Co. .,Premium Bitter/ESB,5.10
1736,5 Seasons Westside Red-Headed Stepchild,5 Seasons Westside,Saison,
1737,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70
1738,Ruosniemen Pikkupomo,Ruosniemen panimo,American Pale Ale,6
1739,Rock Bottom Chicago My-O-My Amber Rye,Rock Bottom Chicago,Specialty Grain,5.50
1740,Det Lille Bryggeri Celebration Ale # 4 Festbier,Det Lille Bryggeri &#40; Roskilde _ l &#41;,Amber Ale,5
1741,Free State The Vortex Red,Free State Brewing Company,Amber Ale,6.10
1742,B&T Tinker,B&T Brewery,Bitter,4.50
1743,406 Snowy Owl Scotch Ale,406 Brewing Company,Scotch Ale,6.20
1744,Solemn Oath Axe Scar Pig,Solemn Oath Brewery,Amber Ale,5.60
1745,Heartland Fresh Hop Amber Lager,Greenpoint Beer Works,Amber Lager/Vienna,5.25
1746,Block Alias Amber,Block Brewing Company,Amber Ale,5.90
1747,Hillbilly FU2 Amber Ale,Maiden Wines LLC,Amber Ale,5.70
1748,Armstrong Ales St. George_s Ginger Brown Ale,Armstrong Ales,Brown Ale,4.50
1749,La Cotta di Giulietta e Romeo Birra Verona Rossa,Birrificio Mastino,Amber Lager/Vienna,5.50
1750,Denver Beer 549 Lohi Amber Ale,Denver Beer Company,Amber Ale,5.80
1751,Zeroday Critical Condition,Zeroday Brewing Company,American Strong Ale,
1752,Red Eye S.H.R. American Amber - Horizon,Red Eye Brewing Company,Amber Ale,5
1753,Backshore Hop Solo,Backshore Brewing Company,India Pale Ale &#40; IPA &#41;,6.20
1754,Hoppy Face Amber Ale,Hoppy Brewing Company,India Pale Ale &#40; IPA &#41;,6.10
1755,La Micro Guato Gato,La Micro Brewing Co. .,Spice/Herb/Vegetable,
1756,Bear Republic Toyon Brut,Bear Republic Brewing Company,Sour/Wild Ale,5.50
1757,Broken Horn Blood Of My Enemies,Broken Horn Brewing Company,Mead,9
1758,Brays Redeye IPA,Brays Brewing,India Pale Ale &#40; IPA &#41;,
1759,Port Townsend Santa Kisser,Port Townsend Brewing Company,Spice/Herb/Vegetable,
1760,Ascension Amber,Ascension Brewing Company,Amber Ale,5.80
1761,Stewarts Rough Sesh,Stewarts Brewing Company,Amber Ale,4.70
1762,Brutopia Frosty Morning Amber Ale,Brutopia,Amber Ale,5
1763,Elk Street Oakley_s Amber,Elk Street Brewery,Amber Ale,4.60
1764,Conshohocken In Amber Clad,Conshohocken Brewing Co. .,Amber Ale,6.60
1765,Ale Asylum Velveteen Habit,Ale Asylum,India Pale Ale &#40; IPA &#41;,7.50
1766,Rivertowne Sow Your Oats Red Ale,Rivertowne Pour House,Specialty Grain,5.40
1767,Siren Liquid Mistress,Siren,Amber Ale,5.80
1768,Belder Red Ginger Ale,Belder,Spice/Herb/Vegetable,5
1769,Border Town Firehouse 28 Red Ale,Border Town Pub Brewery & Eatery,Amber Ale,5.10
1770,8 Wired Fresh HopWired,8 Wired Brewing,India Pale Ale &#40; IPA &#41;,7.30
1771,4T_s Santas Sack,4T_s,Golden Ale/Blond Ale,4.20
1772,Boundary Road Brewer_s Cut Red Baron,Independent Breweries NZ &#40; Boundary Road &#41;,Amber Ale,5.60
1773,Gallows Hill Amber Ale,Two Rivers Brewing Company,Amber Ale,5.50
1774,Big Island Red Sea of Cacao,Big Island Brewhaus,Spice/Herb/Vegetable,8.70
1775,18th Street Villain,18th Street Brewery,Imperial IPA,8.90
1776,Due South Red Hoptober,Due South Brewing Co. .,Amber Ale,5.50
1777,Cascade Lakes Slippery Slope,Cascade Lakes Brewing Co. .,English Strong Ale,6.40
1778,Flat 12 Red Oat-tober,Flat 12 Bierwerks,Specialty Grain,4.70
1779,Yak and Yeti Rupee Red,Yak and Yeti,Amber Ale,
1780,Michael_s Genuine Home Brew,Back Forty Beer Company,Golden Ale/Blond Ale,
1781,Kaktus Amber Late Hop Ale,Kaktus Brewing Company,Amber Ale,5
1782,Arch Rock Brewer_s Select Series # 2 : Trident Black IPA,Arch Rock Brewing Company,Black IPA,6
1783,Moosehead Boundary Ale,Moosehead Brewery,Amber Ale,5.30
1784,Solemn Oath Man vs. Internet vs. Mothra,Solemn Oath Brewery,Belgian Strong Ale,9
1785,Main Seidla Amber Spezial,Brauhaus Binkert / Main Seidla,Amber Ale,5.50
1786,Gold Camp Mamies Amber,Gold Camp Brewing Company,Amber Ale,4.70
1787,Wendlandt Humpy Humpy Amber Ale,CervecerÃa Wendlandt,Amber Ale,5.40
1788,La Cumbre Tank 10 Red,La Cumbre Brewing Company,Amber Ale,6.80
1789,Lost Province Compass Rose Amber Ale,Lost Province Brewing Company,Amber Ale,5.50
1790,Archibald Orchards Canadian Maple,Archibald Orchards and Estate Winery,Cider,
1791,Mountain State Almost Heaven Amber Ale,Mountain State Brewing Co. .,Amber Ale,5.20
1792,Barrier Calm It,Barrier Brewing Company,Amber Ale,5.20
1793,Marstons Single Hop Saphir,Marstons,Amber Ale,4
1794,Redfish Angry Monk Belgian Ale,Redfish New Orleans Brewhouse,Belgian Ale,6.70
1795,Sick N Twisted Balls of Fire,Sick N Twisted Brewing Company,Spice/Herb/Vegetable,8.50
1796,Beachside High Tide Black Beer with Pomegranate,Florida Beer Company,Schwarzbier,
1797,Outer Banks Ruddy_s Rye I.P.A.,Outer Banks Brewing Station,Specialty Grain,
1798,Barba Roja Barrel Aged Red Ale,Barba Roja de Anapa,American Strong Ale,9
1799,7venth Sun Imperial Maple Bacon Glazed Donut Porter,7venth Sun Brewery,Imperial Porter,8.80
1800,Liberty Myrtle Beach So Fresh And So Steam,Liberty Brewery & Grill - Myrtle Beach,California Common,5.40
1801,Sankt Gallen Kitakamakura no Megumi,Sankt Gallen Brewery,Amber Ale,5
1802,ShinDigger City Shuffle Red Ale,ShinDigger,Amber Ale,5.10
1803,Dia De Los Muertos Death Becomes You Amber Ale,CervecerÃa Mexicana,Amber Ale,5.50
1804,Shugborough N_KD At The Swan,Shugborough ( Titanic ),Golden Ale/Blond Ale,4.50
1805,Central City Red Racer Gingerhead Gingerbread Stout,Central City Brewers + Distillers,Stout,6
1806,Nevin_s Amberosia,Nevin_s Brewing Company,Amber Ale,5.20
1807,8 Wired Brett Pilsner,Renaissance Brewing,Sour/Wild Ale,5
1808,Snowy Mountain Lone Ranger Red,Snowy Mountain Brewery,Amber Ale,7
1809,Alamo Amber Lager,Alamo Beer Company,Amber Lager/Vienna,5.50
1810,Get Well Hector_s Bell Amber Ale,Get Well,Amber Ale,5
1811,3 Fonteinen Druiven Geuze Malvasia Rosso,Brouwerij 3 Fonteinen,Lambic Style - Fruit,8
1812,Cheriton Amber Gambler,Flowerpots,Bitter,3.90
1813,Lake Effect Aged Red Ale,Lake Effect Brewing Company,American Strong Ale,8
1814,La Rouget de Lisle Crin Blanc,La Rouget de Lisle,Amber Lager/Vienna,6
1815,Fifty West Gaddy_s Irish Red Ale,Fifty West Brewing Company,Irish Ale,6
1816,Archers Poleaxed,Archers &#40; Evan Evans &#41;,Premium Bitter/ESB,5
