id,Beer_Name,Brew_Factory_Name,Style,ABV
2410,Warrior Pride Red Ale,Rincon Brewery,American Amber / Red Ale,4.90
2411,Willimantic Return To Sender Ale,Willimantic Brewing Co. .,American Amber / Red Ale,5.40
2412,Garnet,Hermit Thrush Brewery,American Amber / Red Ale,6.40
2413,Big Boned Belgian Style Amber Ale,Right Brain Brewery,American Amber / Red Ale,5.40
2414,Anne Marie 's Amber,Iron Springs Pub & Brewery,American Amber / Red Ale,6.00
2415,French Toast Ale,Territorial Brewing Company,American Amber / Red Ale,7.60
2416,# 05256,Ithaca Beer Company,American Amber / Red Ale,6.30
2417,Panama Red Ale,Yorkholo Brewing Co. .,American Amber / Red Ale,6.10
2418,Speed Bump,Bear Republic Brewing Co. .,American Amber / Red Ale,4.60
2419,409 Amber Ale,Moo-Duck Brewery,American Amber / Red Ale,5.50
2420,5:03 Imperial Amber,Wichita Brewing Co. & Pizzeria West,American Amber / Red Ale,7.75
2421,Amber Waves Amber Ale,J. Wakefield Brewing,American Amber / Red Ale,
2422,Flat Tail Amber Ale,Flat Tail Brewing,American Amber / Red Ale,5.00
2423,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,
2424,Punter 's Special Ale,M. T. Head Brewing Co. .,American Amber / Red Ale,4.90
2425,Ruder Boy ( Aged In Bourbon Barrels ),Burley Oak Brewery,American Amber / Red Ale,13.80
2426,Fire Engine Red,Blue Skye Brewery & Eats,American Amber / Red Ale,
2427,Taildragger _ ™ s Chasing Tail,Saddle Mountain Brewing Company,American Amber / Red Ale,
2428,Heavy Hearted Amber,Zaftig Brewing Co. .,American Amber / Red Ale,8.00
2429,Waltzing Matilda Rye Amber Ale,Right Brain Brewery,American Amber / Red Ale,5.00
2430,Dry Hopped Pacific Red,Max 's Fanno Creek Brew Pub,American Amber / Red Ale,5.70
2431,Sticke Handwerker,Secret Engine Brewing,American Amber / Red Ale,6.70
2432,Dragonfly,Fallen Brewing Company,American Amber / Red Ale,4.60
2433,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90
2434,The Honey Brunette,Bandwagon Brew Pub,American Amber / Red Ale,5.50
2435,Sunrise Amber,Island Hoppin ' Brewery,American Amber / Red Ale,
2436,Redrum Red Ale,Rivertowne Pourhouse,American Amber / Red Ale,6.10
2437,Hardtack Copper,Declaration Brewing Company,American Amber / Red Ale,5.30
2438,Volcano Red Ale,CervecerÃa Maddok,American Amber / Red Ale,6.50
2439,Do n't Fear The Reaper,Funky Buddha Brewery,American Amber / Red Ale,
2440,Corfu Ale Special,Corfu Beer,American Amber / Red Ale,5.00
2441,Bad Amber,Duel Brewing,American Amber / Red Ale,6.00
2442,Cask Conditioned Red Ale,Emmett 's Brewing Company,American Amber / Red Ale,5.60
2443,Titan Rock Red,38 State Brewing Company,American Amber / Red Ale,6.80
2444,Buck And Ball Double Amber Ale,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,6.80
2445,Summit Sunrise,Denver Beer Co. .,American Amber / Red Ale,6.90
2446,The Assemblyman,Yolo Brewing Company,American Amber / Red Ale,6.40
2447,Double Ought Buck Double Amber,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,9.50
2448,Imperial Amber,Manor Hill Brewing,American Amber / Red Ale,
2449,Butter Pecan,Greenbush Brewing Company,American Amber / Red Ale,
2450,Phat Chance Amber,Innovation Brewing,American Amber / Red Ale,5.50
2451,Blue Moon,Greenbush Brewing Company,American Amber / Red Ale,
2452,Point Reyes Amber,MalmÃ ¶ Brewing Co,American Amber / Red Ale,4.90
2453,La Blanche Amb ` RÃ ©,BiÃ ¨ res de RÃ ©,American Amber / Red Ale,5.80
2454,Agamenticus Amber Ale,SoMe Brewing Company,American Amber / Red Ale,5.50
2455,Ruby Soho Red Ale,MalmÃ ¶ Brewing Co,American Amber / Red Ale,4.60
2456,Markus AmbrÃ © e,La Brasserie Du Val De DrÃ ´ me,American Amber / Red Ale,6.20
2457,Wisconsin Amber Ale,Hillbilly Brewing,American Amber / Red Ale,
2458,Tri-City Beer,Sisyphus Brewing,American Amber / Red Ale,6.90
2459,Agravain Amber,House of Pendragon Brewing Company,American Amber / Red Ale,6.60
2460,Nano Rat Imperial Red,Nano Brew Cleveland,American Amber / Red Ale,8.50
2461,Libertine,Lift Bridge Brewery,American Amber / Red Ale,8.50
2462,Gull Dam Amber Ale,Gull Dam Brewing,American Amber / Red Ale,6.00
2463,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50
2464,Ruby Slipper Ale,Hoppy Brewing Co. .,American Amber / Red Ale,7.10
2465,Surly Mosh Pit,Acoustic Ales Brewing Experiment,American Amber / Red Ale,9.00
2466,Ala Moana Amber,Waikiki Brewing Company,American Amber / Red Ale,5.62
2467,Lisa,J Wells Brewery,American Amber / Red Ale,6.00
2468,Son Of Chugga,BrickHouse Brewery,American Amber / Red Ale,6.80
2469,Commuter Amber,Deschutes Brewery,American Amber / Red Ale,4.60
2470,Nerdy Girl,South Fork Brewing Company,American Amber / Red Ale,
2471,Pan Pacific,Garage Project,American Amber / Red Ale,6.00
2472,Black Oak Love Fuzz,Black Oak Brewing Co. .,American Amber / Red Ale,5.50
2473,Avenue Amber,Gillette Brewing Company,American Amber / Red Ale,4.50
2474,Noisy Minor Admiral Ackbar Anti-Imperial Red Ale,Fortitude Brewing Company,American Amber / Red Ale,8.50
2475,Railyard Red,Second Street Brewery,American Amber / Red Ale,6.60
2476,Armistice Amber Ale,Locavore Beer Works,American Amber / Red Ale,6.00
2477,Stoneyard Ripper 's Red Ale,CB Craft Brewers,American Amber / Red Ale,6.25
2478,Dog Ditch Amber,Tustin Brewing Company,American Amber / Red Ale,
2479,Negev Amber Ale,Negev Brewery,American Amber / Red Ale,4.90
2480,3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00
2481,Notting Hill Amber,Moncada Brewery Ltd,American Amber / Red Ale,4.70
2482,Inspector Stonewall 's Amber Ale,Trickster 's Brewing Company,American Amber / Red Ale,5.60
2483,Legendary Amber,Pigskin Brewing Company,American Amber / Red Ale,
2484,Attain In Inner Peach,Finback Brewery,American Amber / Red Ale,
2485,Levrette Bio,Brasserie De Brunehaut,American Amber / Red Ale,6.50
2486,High Alert Double Red,Northbound Brewpub,American Amber / Red Ale,8.40
2487,Hopback Amber,Bube 's Brewery,American Amber / Red Ale,5.20
2488,Saskberry,Bin Brewing,American Amber / Red Ale,
2489,Amarillo Anonymous,Rock & Run Brewery and Pub,American Amber / Red Ale,6.00
2490,Mistura ClÃ ¡ ssica Amber,Mistura ClÃ ¡ ssica,American Amber / Red Ale,6.00
2491,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00
2492,Capistrano Amber,Bayhawk Ales,American Amber / Red Ale,5.50
2493,Ed 's Red,American Brewing Company,American Amber / Red Ale,5.00
2494,Easy Amber Ale,Scottsdale Beer Company,American Amber / Red Ale,5.70
2495,Coconut Imperial Red,The Brewery at Abigaile,American Amber / Red Ale,9.40
2496,Portsmouth Amber Dandy With Cayenne,Portsmouth Brewery,American Amber / Red Ale,
2497,Billabong Brew,CP Brewery at Brews and Cues,American Amber / Red Ale,
2498,North 40 Amber,Himmelberger Brewing Co. .,American Amber / Red Ale,4.20
2499,Amber Borealis,49th State Brewing Company,American Amber / Red Ale,5.30
2500,Rustic Horizon Red With Breakfast Tea,Twisted Manzanita Ales,American Amber / Red Ale,5.60
2501,16 | 02 Red Ale ( Amarillo Citra Simcoe ),Brew By Numbers,American Amber / Red Ale,5.40
2502,Rudder 's Red,Rudder 's Seafood Restaurant & Brew Pub,American Amber / Red Ale,
2503,Grizzly Peak Junicade Red,Grizzly Peak Brewing Company,American Amber / Red Ale,
2504,Echo Amber ( Altbier ),Echo Brewpub & Pizzeria,American Amber / Red Ale,5.20
2505,Red Wing,Birdland Brewing Company,American Amber / Red Ale,6.00
2506,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40
2507,Scraps,Birdsview Brewing Company,American Amber / Red Ale,
2508,Ruby Pogo,Three Palms Brewing Co. .,American Amber / Red Ale,7.50
2509,Honey Brew-Brew,FireWheel Brewing Company,American Amber / Red Ale,6.00
2510,The Spirit Of The 90 's ( 2015 Symposium Ale ),Hopworks Urban Brewery,American Amber / Red Ale,5.50
2511,Hopped Up Red Ale,Sick N Twisted Brewing Co. .,American Amber / Red Ale,8.00
2512,Pumukl,Junction Craft Brewing,American Amber / Red Ale,4.50
2513,Howitzer Amber,Red Leg Brewing Company,American Amber / Red Ale,5.90
2514,Archtop Amber,12 String Brewing Company,American Amber / Red Ale,5.50
2515,Rye-Zen-Shine,Iron Hill Brewery & Restaurant,American Amber / Red Ale,6.00
2516,MÃ ² R-ish !,MÃ ² R Brewery,American Amber / Red Ale,4.20
2517,Caramel Latte Beer,Last Best Eatery & Brewpub,American Amber / Red Ale,5.30
2518,California Amber,Boxcar Brewing Co. .,American Amber / Red Ale,6.00
2519,Round Engine Red,Fly Boy Brewery & Eats,American Amber / Red Ale,
2520,And To All A Good Light,2kids Brewing Company,American Amber / Red Ale,3.40
2521,Glasstown Ale,Glasstown Brewing Co. .,American Amber / Red Ale,
2522,Anker Beard Amber,Gro_en Bart Brewery,American Amber / Red Ale,5.30
2523,Creekside Rippoff Red Ale,Creekside Brewing Company,American Amber / Red Ale,5.80
2524,Devil 's Gate Red Ale,Whistle Stop Restaurant & Woodman Brewery,American Amber / Red Ale,
2525,Dick 's Oatmeal IRA,Bill 's Tavern & Brewhouse,American Amber / Red Ale,8.00
2526,Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99
2527,Java The Red,Big Woods Brewing Co. / Quaff On ! Brewing Company,American Amber / Red Ale,5.50
2528,Pumpkin Pie Amber,Alvarado Street Brewery & Grill,American Amber / Red Ale,6.00
2529,Uncle Rico _ ™ s Red Ale,Scottsdale Beer Company,American Amber / Red Ale,8.80
2530,Monks Cafe Orange Ale,Monks CafÃ ©,American Amber / Red Ale,5.60
2531,Apache Amber,Blue Star Brewing Company,American Amber / Red Ale,
2532,Red Tick,The Hermosillo / Highland Park Brewery,American Amber / Red Ale,4.50
2533,Dispensary Red Ale,Hops and Grain Brewery,American Amber / Red Ale,
2534,360 Red Ale,Top Rung Brewing Company,American Amber / Red Ale,5.80
2535,Homewrecker Red,Nine Yards Brewing,American Amber / Red Ale,5.50
2536,Boneyard Red Ale,Newport Beach Brewing Company,American Amber / Red Ale,
2537,Driftwood,Island Hoppin ' Brewery,American Amber / Red Ale,
2538,Cambridge House Lime Rock Red,The Cambridge House Brewpub,American Amber / Red Ale,6.00
2539,Virginia Hop Harvest - Amber IPA ( 2015 ),Old Bust Head Brewing Co. .,American Amber / Red Ale,7.70
2540,Little Wind Red,Tall Paul 's Brewhouse,American Amber / Red Ale,
2541,Emerald Irish Ale,Steelhead Brewing Co. .,American Amber / Red Ale,6.20
2542,The Stiletto,Uncle Billy 's Brew & Que,American Amber / Red Ale,5.00
2543,Red Faucher,10 Barrel Brewing Co. .,American Amber / Red Ale,6.50
2544,Unite Red Ale,Three Notch 'd Brewing Company,American Amber / Red Ale,5.10
2545,Duke Of Rochester,Wicked Weed Brewing,American Amber / Red Ale,5.50
2546,Centennial Amber Ale,Emmett 's Brewing Company,American Amber / Red Ale,5.20
2547,Walkendorff,7 Fjell Bryggeri,American Amber / Red Ale,6.00
2548,Rocket Science Red Planet,Dennis Beer Co. .,American Amber / Red Ale,6.40
2549,Finsbury Park Amber Ale,Lewis Beer Company,American Amber / Red Ale,4.40
2550,Rocket Man Red Ale,Playalinda Brewing Company,American Amber / Red Ale,5.00
2551,Shades Of Amber,Sandude Brewing Co. .,American Amber / Red Ale,5.00
2552,Glorioski Amber,Discretion Brewing,American Amber / Red Ale,5.70
2553,Texas Red,Railroad Seafood Station Brewing Company,American Amber / Red Ale,4.80
2554,CafÃ © AmbrÃ ©,O'so Brewing Company & Tap House,American Amber / Red Ale,7.00
2555,IRRA,FÃ ¡ brica Maravillas,American Amber / Red Ale,
2556,Ca n't Catch Me !,Middleton Brewing,American Amber / Red Ale,
2557,Woodhead Amber Ale,Devils Peak Brewing Company,American Amber / Red Ale,5.00
2558,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40
2559,Red Roots,BrewLAB,American Amber / Red Ale,5.70
2560,American Copper,Station 26 Brewing Co. .,American Amber / Red Ale,5.40
2561,Cap'n Beef Hearts,Earth Eagle Brewings,American Amber / Red Ale,6.20
2562,Icarus Farmhouse Red,Reaver Beach Brewing Company,American Amber / Red Ale,6.00
2563,Agent Provocateur,Trouble Brewing,American Amber / Red Ale,6.20
2564,Ambar,Cerveceria Berber S.A. de C.V.,American Amber / Red Ale,4.10
2565,Accommodation Amber,Rustic Road Brewing Company,American Amber / Red Ale,5.20
2566,Lil ' Red Steamer,Cassel Brewery Co. .,American Amber / Red Ale,5.20
2567,Cone-Azalia Red Ale,Original Gravity Brewing Company,American Amber / Red Ale,5.10
2568,Rhiannon Irish Red,LyonSmith Brewing Company,American Amber / Red Ale,6.00
2569,Wolverine,Progress Brewing,American Amber / Red Ale,5.00
2570,La `` Pyro `` mane,Microbrasserie La Captive,American Amber / Red Ale,4.90
2571,Island Of Misfit Hops # 1,Medusa Brewing Company,American Amber / Red Ale,7.40
2572,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00
2573,Wyatt Earp,The Beer Company,American Amber / Red Ale,7.00
2574,Golden Ale,Laht Neppur Brewing Company,American Amber / Red Ale,6.00
2575,Mulligan,Old Soul Brewing,American Amber / Red Ale,6.20
2576,Brigantine Ambree,Brasserie De La Cote De Jade,American Amber / Red Ale,5.00
2577,Daybreak,Our Brewing Co. .,American Amber / Red Ale,7.30
2578,Headless Dog,Hilden Brewing Company / Taproom,American Amber / Red Ale,4.20
2579,Hogback Amber Ale,Alpine Dog Brewing Company,American Amber / Red Ale,5.00
2580,Firefall Red,Tioga-Sequoia Brewing Company,American Amber / Red Ale,5.50
2581,Avery Point Amber,Berkshire Brewing Company Inc. .,American Amber / Red Ale,
2582,Rock Candy Red,Oskar Blues Grill & Brew,American Amber / Red Ale,
2583,Amberjack,Backshore Brewing Company,American Amber / Red Ale,6.50
2584,New London Amber,Goat Ridge Brewing Co. .,American Amber / Red Ale,5.20
2585,Mic Sager 's Agnew Amber,Twin Peaks Brewing & Malting Co. .,American Amber / Red Ale,
2586,Chip Off The Old Block,Ladyface Ale Companie,American Amber / Red Ale,
2587,The Hills Have Eyes,BNS Brewing & Distilling Co. .,American Amber / Red Ale,5.20
2588,Honey Oat Amber,Ass Clown Brewing,American Amber / Red Ale,6.60
2589,16 | 03 Red Ale ( Mosaic & Chinook ),Brew By Numbers,American Amber / Red Ale,5.50
2590,AFD Red,Broken Bottle Brewery,American Amber / Red Ale,5.40
2591,Hopped Up Amber,Ass Clown Brewing,American Amber / Red Ale,6.70
2592,New Holland Adam 's Apple,New Holland Brewing Company,American Amber / Red Ale,
2593,Unite Red Ale,Mike Hess Brewing - Miramar,American Amber / Red Ale,4.60
2594,All About Amber,Beaver Brewing Company,American Amber / Red Ale,4.50
2595,Eric The Red Ale,RÃ ¶ k House Brewing Company,American Amber / Red Ale,6.50
2596,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30
2597,Aetheria,BadWolf Brewing Company,American Amber / Red Ale,4.70
2598,Dos Rios Amber Lager,Glenwood Canyon Brewing / Canyon Brew Pub,American Amber / Red Ale,
2599,Poppy Jasper Brewed With Citra Hops,El Toro Brewing Co. .,American Amber / Red Ale,
2600,Red October,Red Ear Brewing Company,American Amber / Red Ale,6.90
2601,Rustic Red Ale,Epic Ales,American Amber / Red Ale,7.20
2602,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50
2603,Poppy Jasper Brewed With Nugget Hops,El Toro Brewing Co. .,American Amber / Red Ale,
2604,Grafton Brewhaus Red Ale,Grafton Winery & Brewhaus,American Amber / Red Ale,
2605,Stronzo Red Frikken Ale,Stronzo Brewing Co. .,American Amber / Red Ale,6.20
2606,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70
2607,Sunset Imperial Amber,The Hop Garden,American Amber / Red Ale,8.50
2608,12 Oaks Amber,Humperdinks Texas LLC,American Amber / Red Ale,
2609,Magnum P.A.,Rivertowne Pourhouse,American Amber / Red Ale,5.50
2610,S'Morris Day And The Time,Pinthouse Pizza Craft Brewpub,American Amber / Red Ale,5.30
2611,60 Schillings Cask,Brasserie Artisanale Albion,American Amber / Red Ale,3.50
2612,Aketoberfest Harvest Ale,Puyallup River Brewing,American Amber / Red Ale,5.70
2613,Rawhide Red,The Stumbling Steer,American Amber / Red Ale,6.00
2614,Killer Red Fresh Hop India Red Ale,Double Mountain Brewery & Taproom,American Amber / Red Ale,7.20
2615,Sunday Barbecue Amber,Cheyenne Brewing Company,American Amber / Red Ale,7.00
2616,Valley Red,12 String Brewing Company,American Amber / Red Ale,5.10
2617,Switch Track,Berthoud Brewing Co. .,American Amber / Red Ale,
2618,Bierbitzch Amber,Academy of Fine Beers,American Amber / Red Ale,
2619,It 's Spelt Centennial,Bosque Brewing Co. .,American Amber / Red Ale,5.70
2620,Simcoe Steam,Wiper & True Brewery,American Amber / Red Ale,5.20
2621,Angler 's Amber,Pelican Pub & Brewery,American Amber / Red Ale,6.70
2622,Sweet Amber,Cheyenne Brewing Company,American Amber / Red Ale,8.00
2623,Summer Ale,The Wellhead Restaurant & Brewpub,American Amber / Red Ale,4.80
2624,Shinjiko Sekiyo Amber Ale,Shimane Beer K.K.,American Amber / Red Ale,5.50
2625,Sunday Fun Day Red Ale,South Fork Brewing Company,American Amber / Red Ale,5.00
2626,True Grit Amber Ale,Mad Giant Beer,American Amber / Red Ale,5.00
2627,Double Tap,Firehouse Brewing Co. .,American Amber / Red Ale,5.00
2628,Salmon Run Red Ale,Slate Creek Brewing Co. .,American Amber / Red Ale,5.00
2629,Gala Hoppy Red,Muxa Brewing Company,American Amber / Red Ale,5.00
2630,WBAB,Wonder Bar ( Wyoming State Brewing Company ),American Amber / Red Ale,10.00
2631,White Oaked Sunset Red,Olde Peninsula Brewpub & Restaurant,American Amber / Red Ale,5.75
2632,Fuken Red Ale,Petoskey Brewing Company,American Amber / Red Ale,5.40
2633,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00
2634,Dry Hopped Red Ale,Liberty Steakhouse Brewery,American Amber / Red Ale,
2635,Snowbird,Two Henry 's Brewing Company,American Amber / Red Ale,6.40
2636,1790 Tap Room Ale,Long Trail Brewing Co. .,American Amber / Red Ale,4.20
2637,Secret Beer,Earth Bread + Brewery,American Amber / Red Ale,
2638,Blitz 'n Holiday Ale,Wonder Bar ( Wyoming State Brewing Company ),American Amber / Red Ale,10.00
2639,Beer Buddy Red Ale,Hansharo Brewery / Restaurant Kurayanarusawa,American Amber / Red Ale,5.00
2640,Heritage Red Ale,Peoria Artisan Brewery,American Amber / Red Ale,4.80
2641,Hickory Red Bacon Ale,Hideout Brewing Company,American Amber / Red Ale,5.60
2642,Ethel Red Ale,Primal Brewing,American Amber / Red Ale,5.20
2643,Grahamber,Infusion Brewing Co. .,American Amber / Red Ale,5.50
2644,_ œAlmost Heaven _ Amber Ale,Mountain State Brewing Company,American Amber / Red Ale,5.20
2645,I _ ™ m Well Red,Butcher & the Brewer,American Amber / Red Ale,6.20
2646,British Red,John S. Rhodell Brewery,American Amber / Red Ale,5.50
2647,Red Between The Lines,Dale Bros. . Brewery,American Amber / Red Ale,6.20
2648,Recumbent,Chainline Brewing Company,American Amber / Red Ale,5.80
2649,Foraging For Herbs,The Celt Experience,American Amber / Red Ale,4.70
2650,Chocolate Amber,Santiam Brewing Company,American Amber / Red Ale,6.00
2651,LouLou Amber Ale,Lolo Peak Brewing Company,American Amber / Red Ale,5.80
2652,Angry Irish Ale,Rooney 's Irish Pub,American Amber / Red Ale,9.00
2653,Belgian Kronik,Lagunitas Brewing Company,American Amber / Red Ale,
2654,Bastola,Birra Flea,American Amber / Red Ale,6.10
2655,Electroshock Therhopy,Wisconsin Brewing Co. .,American Amber / Red Ale,
2656,Reddish American Red Ale,CervecerÃa Robeerto,American Amber / Red Ale,5.14
2657,Tarantula Trek Red Ale,Blue Heron Brewing Company,American Amber / Red Ale,
2658,Woodford Reserve BBL Aged G'knight,Oskar Blues Grill & Brew,American Amber / Red Ale,
2659,Red Bonnet Amber,Wabasha Brewing Co. .,American Amber / Red Ale,5.50
2660,No Paddle Amber,Muddy Creek Brewery,American Amber / Red Ale,5.20
2661,Red Rye,Draught House Pub & Brewery,American Amber / Red Ale,4.80
2662,5th Anniversary Ale,Round Guys Brewing Company,American Amber / Red Ale,6.80
2663,Summer 66,Two Rows Restaurant & Brewery,American Amber / Red Ale,
2664,Umbeer,Willimantic Brewing Co. .,American Amber / Red Ale,5.50
2665,Amber - Oak Chips & Vanilla Beans,Alligator Brewing Company,American Amber / Red Ale,
2666,Tiffani Amber Thiessen,Denver Beer Co. .,American Amber / Red Ale,
2667,Rennisance City Red,Singin ' River Brewing Co. .,American Amber / Red Ale,4.90
2668,AmbrÃ © e AmÃ © ricaine,La Barberie,American Amber / Red Ale,
2669,Smokestack Amber Ale,Crown Brewing,American Amber / Red Ale,5.00
2670,Oaky Doke,Company Brewing,American Amber / Red Ale,6.50
2671,100 __ Naked Dove Brewing Company,American Amber / Red Ale,,0.00
2672,49 ` er Red,Gold Hill Brewery,American Amber / Red Ale,5.70
2673,Miner 's Red,Placerville Brewing Co. .,American Amber / Red Ale,
2674,Nicole,BREW Pub & Kitchen,American Amber / Red Ale,
2675,Johnny Bravo,E.J. Phair Brewing Company,American Amber / Red Ale,
2676,Homefield 5,Kretschmann Brewing Company,American Amber / Red Ale,3.90
2677,Coccinati Red Wheat,People 's Brewing Company,American Amber / Red Ale,6.00
2678,Border Bitter,The Untapped Brewing Co. .,American Amber / Red Ale,3.80
2679,No Soul Red,Intracoastal Brewing Company,American Amber / Red Ale,5.50
2680,Busy Bee,De Garve,American Amber / Red Ale,5.50
2681,Little Tenderness,Little Beer Coporation,American Amber / Red Ale,5.40
2682,Rock Slide Amber,Elk Mountain Brewing,American Amber / Red Ale,
2683,Big Wind Amber,Alligator Brewing Company,American Amber / Red Ale,
2684,Boscos Kung Fu,Boscos Restaurant & Brewing Co. .,American Amber / Red Ale,
2685,Levitation With Darjeeling & Ginger,Stone Brewing Co. .,American Amber / Red Ale,4.40
2686,Armstrong Amber,Roseville Brewing Company,American Amber / Red Ale,
2687,Maltz & Waltz,De Garve,American Amber / Red Ale,5.00
2688,Get To The Root,Whole Foods - Post Oak,American Amber / Red Ale,6.50
2689,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00
2690,Mighty Mullet,Plymouth Brewing Company,American Amber / Red Ale,6.70
2691,Wild North Summer Session Ale,Lake of Bays Brewing Company,American Amber / Red Ale,4.20
2692,Redshift Red Ale,Wavelength Brewing Company,American Amber / Red Ale,
2693,Big Amber Gnome,HeinzelmÃ $ nnchen Brewery,American Amber / Red Ale,8.00
2694,Urban Amber,Bull & Barrel Brew Pub,American Amber / Red Ale,6.10
2695,Whipstall West Coast Amber,Iron Bird Brewing Co. .,American Amber / Red Ale,5.20
2696,DÃ © gagÃ © Ale,Great Black Swamp Brewing Co. .,American Amber / Red Ale,
2697,San Rafael Red Ale,Broken Drum Brewery And Wood Grill,American Amber / Red Ale,6.00
2698,Venomous Imperial Honey Ale - Brandy Barrel-Aged,Fegley 's Bethlehem Brew Works,American Amber / Red Ale,9.00
2699,Burning Down The House,Twelve Bar Brews,American Amber / Red Ale,8.50
2700,British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40
2701,Stranger Danger,Flat 12 Bierwerks,American Amber / Red Ale,
2702,Devil 's Garden,Frodsham Brewery,American Amber / Red Ale,3.90
2703,Rousse Svelte,LagabiÃ ¨ re Brasserie Artisanale,American Amber / Red Ale,5.50
2704,Hose Co 1 Red Lager,Twisted Chile Brewing Company,American Amber / Red Ale,
2705,Roughneck Red Ale,Ten Sleep Brewing Company,American Amber / Red Ale,
2706,The Amarillo Chainsaw Massacre,Broadhead Brewing Company,American Amber / Red Ale,
2707,Marks And Spencer Cornish Red Ale,St. Austell Brewery,American Amber / Red Ale,4.90
2708,7-Spot Amber Ale,Stormcloud Brewing Company,American Amber / Red Ale,5.40
2709,Outlaw IPA,Small Batch Beer Co. .,American Amber / Red Ale,6.50
2710,Redwood,Grain Brewery,American Amber / Red Ale,4.80
2711,Capricieuse,LagabiÃ ¨ re Brasserie Artisanale,American Amber / Red Ale,6.00
2712,Brother Paul 's Amber Ale,Clayton Brewing Co. .,American Amber / Red Ale,5.20
2713,Red Rooster Amber,August Schell Brewing Company,American Amber / Red Ale,
2714,Destinatian Honey Red Ale,Natian Brewery,American Amber / Red Ale,5.10
2715,Naughty Amber,Fat Unicorn Brewery,American Amber / Red Ale,5.50
2716,Amethyst Amber Ale,Sleeping Giant Brewing Co. .,American Amber / Red Ale,5.00
2717,Mother Plunker,DuVig Brewing Co. .,American Amber / Red Ale,5.20
2718,Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,5.00
2719,Loggerhead Red,Marco Island Brewery,American Amber / Red Ale,5.00
2720,Amber Lager,Smithworks Brewing Company,American Amber / Red Ale,5.60
2721,Scintilla Sweet Tea Ale,Legal Remedy Brewing,American Amber / Red Ale,5.00
2722,Summer Session Ale,Elk Creek Cafe + Aleworks,American Amber / Red Ale,4.20
2723,Hogfish Amber,Florida Keys Brewing Co. .,American Amber / Red Ale,5.40
2724,Aiken American Red Pale Ale,Aiken Brewing Company,American Amber / Red Ale,
2725,Viola Rossa,Birra Arduini,American Amber / Red Ale,6.60
2726,Road Rider,Oblivion Brewing Co. .,American Amber / Red Ale,5.90
2727,Amber Earl,Fetch Brewing Company,American Amber / Red Ale,
2728,L'Aviateur,La Tour A BiÃ ¨ res,American Amber / Red Ale,6.00
2729,Ratsherrn Backbord Red Ale,Ratsherrn Brauerei GmbH,American Amber / Red Ale,4.30
2730,Otter Creek Amber,Kassik 's Kenai Brew Stop,American Amber / Red Ale,6.20
2731,R.I.P.A.H,Black Bear Brewery,American Amber / Red Ale,6.40
2732,Manchester Red,Franklin Street Brewing Company,American Amber / Red Ale,6.00
2733,Flanders Red Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,
2734,Wave,Brooksville Brewing Company,American Amber / Red Ale,
2735,Legends Of The Bay - Ghosts Of Hope Island,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00
2736,Rude Girl,Burley Oak Brewery,American Amber / Red Ale,8.10
2737,Bretter Off Red,Refuge Brewery,American Amber / Red Ale,6.60
2738,Daywalker,Brew Detroit,American Amber / Red Ale,4.30
2739,Swayze In The Morning,Fairhope Brewing Company,American Amber / Red Ale,6.50
2740,Amber Eh !,Niagara Brewing Company,American Amber / Red Ale,5.00
2741,Northmaen Ambree,Brasserie De La Chapelle,American Amber / Red Ale,5.00
2742,Thirsty Dog Natural Ale,Thirsty Dog Tavern & CafÃ ©,American Amber / Red Ale,5.00
2743,Bonnie Heather Amber,Kilted Dragon Brewing,American Amber / Red Ale,6.00
2744,Summertime Ale,Milwaukee Brewing Company,American Amber / Red Ale,5.50
2745,Crimson King,B.O.B. 's Brewery,American Amber / Red Ale,5.80
2746,Andromeda,Rising Tide Brewing Company,American Amber / Red Ale,6.50
